,created_by,name,description,directions,glass,image_url
117,,Aviation,Aviation,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg
118,,Aztec Punch,Aztec Punch,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg
119,,B-52,B-52,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
120,,B-53,B-53,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
121,,Baby Eskimo,Baby Eskimo,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg
122,,Baby Guinness,Baby Guinness,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg
123,,Bacardi Cocktail,Bacardi Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg
124,,Bailey's Dream Shake,Bailey's Dream Shake,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg
125,,Balmoral,Balmoral,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
126,,Banana Cantaloupe Smoothie,Banana Cantaloupe Smoothie,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg
127,,Banana Daiquiri,Banana Daiquiri,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg
128,,Banana Milk Shake,Banana Milk Shake,Combine ingredients,White Wine Glass,http://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg
129,,Banana Strawberry Shake,Banana Strawberry Shake,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg
130,,Banana Strawberry Shake Daiquiri-type,Banana Strawberry Shake Daiquiri-type,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg
131,,Barracuda,Barracuda,Combine ingredients,Margarita Glass,http://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
132,,Belgian Blue,Belgian Blue,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/rttsxw1441245419.jpg
133,,Bellini,Bellini,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
134,,Bellini Martini,Bellini Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg
135,,Bermuda Highball,Bermuda Highball,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg
136,,Berry Deadly,Berry Deadly,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg
137,,Between The Sheets,Between The Sheets,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg
138,,Bible Belt,Bible Belt,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg
139,,Big Red,Big Red,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
140,,Black & Tan,Black & Tan,Combine ingredients,Pint Glass,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg
141,,Black Forest Shake,Black Forest Shake,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg
